ticketNo,confirmationNo,travelDocument,seatNo,flightNo,departureDate
10030,5015,16580718-5201,1D,YH565,2020-07-30
10031,5016,16100528-7683,1E,YH565,2020-07-30
10032,5016,16660906-5948,1F,YH565,2020-07-30
10033,5017,16581104-5979,2A,YH565,2020-07-30
10034,5017,16131128-1933,2B,YH565,2020-07-30
10035,5018,16480502-9560,2C,YH565,2020-07-30
10036,5018,16800517-6485,2D,YH565,2020-07-30
10037,5019,16960109-5889,2E,YH565,2020-07-30
10038,5019,16470315-5103,2F,YH565,2020-07-30
10039,5020,16550624-6338,3A,YH565,2020-07-30
10040,5020,16060325-8625,3B,YH565,2020-07-30
10041,5021,16930417-0237,3C,YH565,2020-07-30
10042,5021,16400921-6765,3D,YH565,2020-07-30
10043,5022,16590402-3420,3E,YH565,2020-07-30
10044,5022,16870912-4617,3F,YH565,2020-07-30
10045,5023,16600221-0950,1A,6R999,2020-06-13
10046,5023,16800517-6485,1B,6R999,2020-06-13
10047,5024,16580718-5201,1C,6R999,2020-06-13
10048,5024,16340528-0565,1D,6R999,2020-06-13
10049,5025,16910501-5979,1E,6R999,2020-06-13
10050,5025,16191226-6457,1F,6R999,2020-06-13
10051,5026,16470315-5103,2A,6R999,2020-06-13
10052,5026,16010823-3214,2B,6R999,2020-06-13
10053,5027,16160304-0336,2C,6R999,2020-06-13
10054,5027,16580430-8590,2D,6R999,2020-06-13
10055,5028,16490621-7072,2E,6R999,2020-06-13
10056,5028,16450413-7565,2F,6R999,2020-06-13
10057,5029,16840928-5155,3A,6R999,2020-06-13
10058,5029,16520703-3324,3B,6R999,2020-06-13
10059,5030,16920216-8358,3C,6R999,2020-06-13
10060,5030,16940122-5850,3D,6R999,2020-06-13
10061,5031,16400921-6765,3E,6R999,2020-06-13
10062,5031,16870912-4617,3F,6R999,2020-06-13
10063,5032,16600221-0950,1A,UP652,2020-01-02
10064,5032,16550923-8845,1B,UP652,2020-01-02
10065,5033,16920609-4733,1C,UP652,2020-01-02
10066,5033,16090327-1120,1D,UP652,2020-01-02
10067,5034,16101008-5239,1E,UP652,2020-01-02
10068,5034,16450413-7565,1F,UP652,2020-01-02
10069,5035,16890806-7732,2A,UP652,2020-01-02
10070,5035,16960109-5889,2B,UP652,2020-01-02
10071,5036,16641007-4782,2C,UP652,2020-01-02
10072,5036,16470315-5103,2D,UP652,2020-01-02
10073,5037,16810114-0682,2E,UP652,2020-01-02
10074,5037,16090903-1809,2F,UP652,2020-01-02
10075,5038,16980712-2024,3A,UP652,2020-01-02
10076,5038,16271225-4412,3B,UP652,2020-01-02
10077,5039,16340528-0565,3C,UP652,2020-01-02
10078,5039,16161111-3711,3D,UP652,2020-01-02
10079,5040,16060510-0759,3E,UP652,2020-01-02
10080,5040,16840928-5155,3F,UP652,2020-01-02
10081,5041,16090327-1120,1A,8O947,2020-07-28
10082,5041,16451017-8900,1B,8O947,2020-07-28
10083,5042,16600221-0950,1C,8O947,2020-07-28
10084,5042,16870127-4261,1D,8O947,2020-07-28
10085,5043,16381206-7498,1E,8O947,2020-07-28
10086,5043,16870912-4617,1F,8O947,2020-07-28
10087,5044,16580718-5201,2A,8O947,2020-07-28
10088,5044,16581104-5979,2B,8O947,2020-07-28
10089,5045,16520915-2577,2C,8O947,2020-07-28
10090,5045,16050402-0173,2D,8O947,2020-07-28
10091,5046,16910501-5979,2E,8O947,2020-07-28
10092,5046,16590402-3420,2F,8O947,2020-07-28
10093,5047,16890717-8282,3A,8O947,2020-07-28
10094,5047,16660906-5948,3B,8O947,2020-07-28
10095,5048,16850904-0880,3C,8O947,2020-07-28
10096,5048,16430425-9379,3D,8O947,2020-07-28
10097,5049,16641007-4782,3E,8O947,2020-07-28
10098,5049,16490305-3546,3F,8O947,2020-07-28
10099,5050,16870601-4985,1A,IY944,2020-01-20
10100,5050,16440526-2314,1B,IY944,2020-01-20
10101,5051,16660906-5948,1C,IY944,2020-01-20
10102,5051,16340528-0565,1D,IY944,2020-01-20
10103,5052,16920216-8358,1E,IY944,2020-01-20
10104,5052,16610515-2992,1F,IY944,2020-01-20
10105,5053,16110206-6022,2A,IY944,2020-01-20
10106,5053,16050604-5038,2B,IY944,2020-01-20
10107,5054,16510109-6732,2C,IY944,2020-01-20
10108,5054,16711124-7495,2D,IY944,2020-01-20
10109,5055,16381206-7498,2E,IY944,2020-01-20
10110,5055,16560308-7742,2F,IY944,2020-01-20
10111,5056,16480502-9560,3A,IY944,2020-01-20
10112,5056,16891029-9851,3B,IY944,2020-01-20
10113,5057,16740903-9638,3C,IY944,2020-01-20
10114,5057,16260227-4298,3D,IY944,2020-01-20
10115,5058,16100528-7683,3E,IY944,2020-01-20
10116,5058,16870127-4261,3F,IY944,2020-01-20
10117,5059,16490621-7072,1A,JQ349,2020-10-06
10118,5059,16120511-2749,1B,JQ349,2020-10-06
10119,5060,16740903-9638,1C,JQ349,2020-10-06
10120,5060,16600221-0950,1D,JQ349,2020-10-06
10121,5061,16360928-2953,1E,JQ349,2020-10-06
10122,5061,16520915-2577,1F,JQ349,2020-10-06
10123,5062,16101008-5239,2A,JQ349,2020-10-06
10124,5062,16090327-1120,2B,JQ349,2020-10-06
10125,5063,16581130-0689,2C,JQ349,2020-10-06
10126,5063,16400921-6765,2D,JQ349,2020-10-06
10127,5064,16891029-9851,2E,JQ349,2020-10-06
10128,5064,16870912-4617,2F,JQ349,2020-10-06
10129,5065,16451017-8900,3A,JQ349,2020-10-06
10130,5065,16450413-7565,3B,JQ349,2020-10-06
10131,5066,16860723-8055,3C,JQ349,2020-10-06
10132,5066,16550624-6338,3D,JQ349,2020-10-06
10133,5067,16480502-9560,3E,JQ349,2020-10-06
10134,5067,16050402-0173,3F,JQ349,2020-10-06
10135,5068,16070614-5166,1A,7O72,2020-06-19
10136,5068,16910613-5115,1B,7O72,2020-06-19
10137,5069,16491201-6724,1C,7O72,2020-06-19
10138,5069,16100528-7683,1D,7O72,2020-06-19
10139,5070,16870601-4985,1E,7O72,2020-06-19
10140,5070,16660906-5948,1F,7O72,2020-06-19
10141,5071,16910606-5783,2A,7O72,2020-06-19
10142,5071,16160304-0336,2B,7O72,2020-06-19
10143,5072,16111009-2648,2C,7O72,2020-06-19
10144,5072,16480502-9560,2D,7O72,2020-06-19
10145,5073,16351006-8632,2E,7O72,2020-06-19
10146,5073,16890717-8282,2F,7O72,2020-06-19
10147,5074,16920609-4733,3A,7O72,2020-06-19
10148,5074,16140805-3104,3B,7O72,2020-06-19
10149,5075,16060325-8625,3C,7O72,2020-06-19
10150,5075,16680307-1361,3D,7O72,2020-06-19
10151,5076,16451017-8900,3E,7O72,2020-06-19
10152,5076,16190219-6698,3F,7O72,2020-06-19
10153,5077,16520915-2577,1A,6T763,2020-02-13
10154,5077,16500402-9038,1B,6T763,2020-02-13
10155,5078,16261029-9600,1C,6T763,2020-02-13
10156,5078,16920609-4733,1D,6T763,2020-02-13
10157,5079,16191226-6457,1E,6T763,2020-02-13
10158,5079,16870912-4617,1F,6T763,2020-02-13
10159,5080,16800517-6485,2A,6T763,2020-02-13
10160,5080,16761025-0172,2B,6T763,2020-02-13
10161,5081,16581130-0689,2C,6T763,2020-02-13
10162,5081,16491201-6724,2D,6T763,2020-02-13
10163,5082,16930417-0237,2E,6T763,2020-02-13
10164,5082,16010823-3214,2F,6T763,2020-02-13
10165,5083,16860723-8055,3A,6T763,2020-02-13
10166,5083,16580430-8590,3B,6T763,2020-02-13
10167,5084,16660906-5948,3C,6T763,2020-02-13
10168,5084,16490621-7072,3D,6T763,2020-02-13
10169,5085,16100528-7683,3E,6T763,2020-02-13
10170,5085,16490904-1982,3F,6T763,2020-02-13
10171,5086,16520703-3324,1A,YH313,2020-01-30
10172,5086,16120511-2749,1B,YH313,2020-01-30
10173,5087,16271225-4412,1C,YH313,2020-01-30
10174,5087,16550923-8845,1D,YH313,2020-01-30
10175,5088,16360928-2953,1E,YH313,2020-01-30
10176,5088,16510109-6732,1F,YH313,2020-01-30
10177,5089,16670111-8249,2A,YH313,2020-01-30
10178,5089,16810114-0682,2B,YH313,2020-01-30
10179,5090,16500402-9038,2C,YH313,2020-01-30
10180,5090,16470315-5103,2D,YH313,2020-01-30
10181,5091,16160922-8588,2E,YH313,2020-01-30
10182,5091,16360709-1679,2F,YH313,2020-01-30
10183,5092,16560308-7742,3A,YH313,2020-01-30
10184,5092,16031229-8268,3B,YH313,2020-01-30
10185,5093,16590402-3420,3C,YH313,2020-01-30
10186,5093,16451017-8900,3D,YH313,2020-01-30
10187,5094,16490621-7072,3E,YH313,2020-01-30
10188,5094,16090903-1809,3F,YH313,2020-01-30
10189,5095,16840928-5155,1A,8T344,2020-09-04
10190,5095,16090703-4078,1B,8T344,2020-09-04
10191,5096,16490904-1982,1C,8T344,2020-09-04
10192,5096,16131128-1933,1D,8T344,2020-09-04
10193,5097,16870912-4617,1E,8T344,2020-09-04
10194,5097,16031229-8268,1F,8T344,2020-09-04
10195,5098,16910606-5783,2A,8T344,2020-09-04
10196,5098,16580430-8590,2B,8T344,2020-09-04
10197,5099,16060510-0759,2C,8T344,2020-09-04
10198,5099,16111009-2648,2D,8T344,2020-09-04
10199,5100,16440526-2314,2E,8T344,2020-09-04
10200,5100,16520915-2577,2F,8T344,2020-09-04
10201,5101,16271225-4412,3A,8T344,2020-09-04
10202,5101,16110206-6022,3B,8T344,2020-09-04
10203,5102,16410417-1642,3C,8T344,2020-09-04
10204,5102,16910501-5979,3D,8T344,2020-09-04
10205,5103,16470315-5103,3E,8T344,2020-09-04
10206,5103,16150310-2319,3F,8T344,2020-09-04
10207,5104,16910501-5979,1A,DD741,2020-08-14
10208,5104,16490904-1982,1B,DD741,2020-08-14
10209,5105,16120511-2749,1C,DD741,2020-08-14
10210,5105,16910613-5115,1D,DD741,2020-08-14
10211,5106,16761025-0172,1E,DD741,2020-08-14
10212,5106,16480502-9560,1F,DD741,2020-08-14
10213,5107,16110206-6022,2A,DD741,2020-08-14
10214,5107,16101008-5239,2B,DD741,2020-08-14
10215,5108,16010823-3214,2C,DD741,2020-08-14
10216,5108,16100528-7683,2D,DD741,2020-08-14
10217,5109,16680307-1361,2E,DD741,2020-08-14
10218,5109,16161111-3711,2F,DD741,2020-08-14
10219,5110,16090327-1120,3A,DD741,2020-08-14
10220,5110,16040530-9543,3B,DD741,2020-08-14
10221,5111,16660906-5948,3C,DD741,2020-08-14
10222,5111,16711124-7495,3D,DD741,2020-08-14
10223,5112,16650229-7226,3E,DD741,2020-08-14
10224,5112,16170930-1624,3F,DD741,2020-08-14
10225,5113,16430425-9379,1A,AO320,2020-09-15
10226,5113,16560308-7742,1B,AO320,2020-09-15
10227,5114,16050604-5038,1C,AO320,2020-09-15
10228,5114,16990322-0029,1D,AO320,2020-09-15
10229,5115,16810114-0682,1E,AO320,2020-09-15
10230,5115,16940122-5850,1F,AO320,2020-09-15
10231,5116,16450413-7565,2A,AO320,2020-09-15
10232,5116,16490621-7072,2B,AO320,2020-09-15
10233,5117,16980712-2024,2C,AO320,2020-09-15
10234,5117,16860723-8055,2D,AO320,2020-09-15
10235,5118,16031229-8268,2E,AO320,2020-09-15
10236,5118,16410417-1642,2F,AO320,2020-09-15
10237,5119,16490904-1982,3A,AO320,2020-09-15
10238,5119,16480502-9560,3B,AO320,2020-09-15
10239,5120,16061230-7694,3C,AO320,2020-09-15
10240,5120,16550923-8845,3D,AO320,2020-09-15
10241,5121,16590402-3420,3E,AO320,2020-09-15
10242,5121,16890717-8282,3F,AO320,2020-09-15
10243,5122,16400921-6765,1A,TW198,2020-09-20
10244,5122,16680307-1361,1B,TW198,2020-09-20
10245,5123,16650229-7226,1C,TW198,2020-09-20
10246,5123,16440526-2314,1D,TW198,2020-09-20
10247,5124,16711124-7495,1E,TW198,2020-09-20
10248,5124,16870429-5081,1F,TW198,2020-09-20
10249,5125,16450226-1243,2A,TW198,2020-09-20
10250,5125,16890717-8282,2B,TW198,2020-09-20
10251,5126,16161111-3711,2C,TW198,2020-09-20
10252,5126,16060510-0759,2D,TW198,2020-09-20
10253,5127,16581104-5979,2E,TW198,2020-09-20
10254,5127,16360709-1679,2F,TW198,2020-09-20
10255,5128,16641007-4782,3A,TW198,2020-09-20
10256,5128,16761025-0172,3B,TW198,2020-09-20
10257,5129,16891029-9851,3C,TW198,2020-09-20
10258,5129,16910501-5979,3D,TW198,2020-09-20
10259,5130,16550624-6338,3E,TW198,2020-09-20
10260,5130,16031229-8268,3F,TW198,2020-09-20
10261,5131,16090327-1120,1A,IR286,2020-04-21
10262,5131,16491201-6724,1B,IR286,2020-04-21
10263,5132,16780120-3824,1C,IR286,2020-04-21
10264,5132,16660906-5948,1D,IR286,2020-04-21
10265,5133,16450413-7565,1E,IR286,2020-04-21
10266,5133,16400921-6765,1F,IR286,2020-04-21
10267,5134,16060325-8625,2A,IR286,2020-04-21
10268,5134,16920216-8358,2B,IR286,2020-04-21
10269,5135,16711124-7495,2C,IR286,2020-04-21
10270,5135,16271225-4412,2D,IR286,2020-04-21
10271,5136,16160922-8588,2E,IR286,2020-04-21
10272,5136,16550923-8845,2F,IR286,2020-04-21
10273,5137,16160304-0336,3A,IR286,2020-04-21
10274,5137,16170930-1624,3B,IR286,2020-04-21
10275,5138,16161111-3711,3C,IR286,2020-04-21
10276,5138,16920609-4733,3D,IR286,2020-04-21
10277,5139,16340528-0565,3E,IR286,2020-04-21
10278,5139,16780520-7797,3F,IR286,2020-04-21
10279,5140,16450226-1243,1A,D3316,2020-07-09
10280,5140,16980712-2024,1B,D3316,2020-07-09
10281,5141,16960109-5889,1C,D3316,2020-07-09
10282,5141,16500402-9038,1D,D3316,2020-07-09
10283,5142,16870912-4617,1E,D3316,2020-07-09
10284,5142,16650229-7226,1F,D3316,2020-07-09
10285,5143,16060325-8625,2A,D3316,2020-07-09
10286,5143,16400921-6765,2B,D3316,2020-07-09
10287,5144,16590402-3420,2C,D3316,2020-07-09
10288,5144,16191226-6457,2D,D3316,2020-07-09
10289,5145,16160304-0336,2E,D3316,2020-07-09
10290,5145,16580718-5201,2F,D3316,2020-07-09
10291,5146,16010823-3214,3A,D3316,2020-07-09
10292,5146,16031229-8268,3B,D3316,2020-07-09
10293,5147,16381206-7498,3C,D3316,2020-07-09
10294,5147,16050402-0173,3D,D3316,2020-07-09
10295,5148,16870601-4985,3E,D3316,2020-07-09
10296,5148,16850904-0880,3F,D3316,2020-07-09
10297,5149,16870601-4985,1A,8F260,2020-10-02
10298,5149,16490621-7072,1B,8F260,2020-10-02
10299,5150,16711124-7495,1C,8F260,2020-10-02
10300,5150,16590402-3420,1D,8F260,2020-10-02
10301,5151,16400921-6765,1E,8F260,2020-10-02
10302,5151,16010823-3214,1F,8F260,2020-10-02
10303,5152,16260227-4298,2A,8F260,2020-10-02
10304,5152,16610515-2992,2B,8F260,2020-10-02
10305,5153,16980712-2024,2C,8F260,2020-10-02
10306,5153,16920216-8358,2D,8F260,2020-10-02
10307,5154,16560308-7742,2E,8F260,2020-10-02
10308,5154,16520915-2577,2F,8F260,2020-10-02
10309,5155,16351006-8632,3A,8F260,2020-10-02
10310,5155,16931205-5859,3B,8F260,2020-10-02
10311,5156,16890717-8282,3C,8F260,2020-10-02
10312,5156,16450226-1243,3D,8F260,2020-10-02
10313,5157,16120511-2749,3E,8F260,2020-10-02
10314,5157,16490904-1982,3F,8F260,2020-10-02
10315,5158,16360928-2953,1A,6C181,2020-04-04
10316,5158,16110206-6022,1B,6C181,2020-04-04
10317,5159,16580718-5201,1C,6C181,2020-04-04
10318,5159,16910613-5115,1D,6C181,2020-04-04
10319,5160,16381206-7498,1E,6C181,2020-04-04
10320,5160,16870601-4985,1F,6C181,2020-04-04
10321,5161,16160304-0336,2A,6C181,2020-04-04
10322,5161,16870429-5081,2B,6C181,2020-04-04
10323,5162,16780520-7797,2C,6C181,2020-04-04
10324,5162,16040530-9543,2D,6C181,2020-04-04
10325,5163,16060325-8625,2E,6C181,2020-04-04
10326,5163,16761025-0172,2F,6C181,2020-04-04
10327,5164,16490621-7072,3A,6C181,2020-04-04
10328,5164,16450226-1243,3B,6C181,2020-04-04
10329,5165,16930417-0237,3C,6C181,2020-04-04
10330,5165,16920216-8358,3D,6C181,2020-04-04
10331,5166,16800517-6485,3E,6C181,2020-04-04
10332,5166,16740903-9638,3F,6C181,2020-04-04
10333,5167,16450226-1243,1A,DC436,2020-09-14
10334,5167,16550923-8845,1B,DC436,2020-09-14
10335,5168,16490305-3546,1C,DC436,2020-09-14
10336,5168,16440526-2314,1D,DC436,2020-09-14
10337,5169,16711124-7495,1E,DC436,2020-09-14
10338,5169,16480502-9560,1F,DC436,2020-09-14
10339,5170,16010823-3214,2A,DC436,2020-09-14
10340,5170,16870127-4261,2B,DC436,2020-09-14
10341,5171,16131128-1933,2C,DC436,2020-09-14
10342,5171,16470315-5103,2D,DC436,2020-09-14
10343,5172,16260227-4298,2E,DC436,2020-09-14
10344,5172,16381206-7498,2F,DC436,2020-09-14
10345,5173,16090703-4078,3A,DC436,2020-09-14
10346,5173,16070614-5166,3B,DC436,2020-09-14
10347,5174,16910501-5979,3C,DC436,2020-09-14
10348,5174,16891029-9851,3D,DC436,2020-09-14
10349,5175,16581130-0689,3E,DC436,2020-09-14
10350,5175,16641007-4782,3F,DC436,2020-09-14
10351,5176,16670111-8249,1A,J5174,2020-07-10
10352,5176,16870127-4261,1B,J5174,2020-07-10
10353,5177,16470315-5103,1C,J5174,2020-07-10
10354,5177,16261029-9600,1D,J5174,2020-07-10
10355,5178,16610515-2992,1E,J5174,2020-07-10
10356,5178,16090903-1809,1F,J5174,2020-07-10
10357,5179,16090327-1120,2A,J5174,2020-07-10
10358,5179,16581130-0689,2B,J5174,2020-07-10
10359,5180,16101007-7111,2C,J5174,2020-07-10
10360,5180,16910501-5979,2D,J5174,2020-07-10
10361,5181,16500402-9038,2E,J5174,2020-07-10
10362,5181,16890806-7732,2F,J5174,2020-07-10
10363,5182,16111009-2648,3A,J5174,2020-07-10
10364,5182,16360709-1679,3B,J5174,2020-07-10
10365,5183,16140805-3104,3C,J5174,2020-07-10
10366,5183,16010823-3214,3D,J5174,2020-07-10
10367,5184,16890717-8282,3E,J5174,2020-07-10
10368,5184,16550923-8845,3F,J5174,2020-07-10
10369,5185,16260227-4298,1A,6K611,2020-02-15
10370,5185,16031229-8268,1B,6K611,2020-02-15
10371,5186,16910501-5979,1C,6K611,2020-02-15
10372,5186,16991015-1423,1D,6K611,2020-02-15
10373,5187,16090903-1809,1E,6K611,2020-02-15
10374,5187,16550923-8845,1F,6K611,2020-02-15
10375,5188,16670111-8249,2A,6K611,2020-02-15
10376,5188,16780120-3824,2B,6K611,2020-02-15
10377,5189,16910613-5115,2C,6K611,2020-02-15
10378,5189,16560308-7742,2D,6K611,2020-02-15
10379,5190,16131128-1933,2E,6K611,2020-02-15
10380,5190,16040530-9543,2F,6K611,2020-02-15
10381,5191,16450226-1243,3A,6K611,2020-02-15
10382,5191,16840928-5155,3B,6K611,2020-02-15
10383,5192,16960109-5889,3C,6K611,2020-02-15
10384,5192,16870601-4985,3D,6K611,2020-02-15
10385,5193,16890806-7732,3E,6K611,2020-02-15
10386,5193,16150423-5282,3F,6K611,2020-02-15
10387,5194,16260227-4298,1A,UT428,2020-07-23
10388,5194,16090703-4078,1B,UT428,2020-07-23
10389,5195,16160922-8588,1C,UT428,2020-07-23
10390,5195,16761025-0172,1D,UT428,2020-07-23
10391,5196,16491201-6724,1E,UT428,2020-07-23
10392,5196,16840928-5155,1F,UT428,2020-07-23
10393,5197,16060510-0759,2A,UT428,2020-07-23
10394,5197,16100528-7683,2B,UT428,2020-07-23
10395,5198,16480502-9560,2C,UT428,2020-07-23
10396,5198,16891219-7517,2D,UT428,2020-07-23
10397,5199,16170930-1624,2E,UT428,2020-07-23
10398,5199,16470315-5103,2F,UT428,2020-07-23
10399,5200,16980712-2024,3A,UT428,2020-07-23
10400,5200,16860723-8055,3B,UT428,2020-07-23
10401,5201,16101007-7111,3C,UT428,2020-07-23
10402,5201,16581130-0689,3D,UT428,2020-07-23
10403,5202,16040530-9543,3E,UT428,2020-07-23
10404,5202,16920609-4733,3F,UT428,2020-07-23
10405,5203,16040530-9543,1A,B3188,2020-09-16
10406,5203,16910501-5979,1B,B3188,2020-09-16
10407,5204,16161111-3711,1C,B3188,2020-09-16
10408,5204,16400921-6765,1D,B3188,2020-09-16
10409,5205,16860723-8055,1E,B3188,2020-09-16
10410,5205,16271225-4412,1F,B3188,2020-09-16
10411,5206,16060325-8625,2A,B3188,2020-09-16
10412,5206,16190219-6698,2B,B3188,2020-09-16
10413,5207,16150423-5282,2C,B3188,2020-09-16
10414,5207,16090703-4078,2D,B3188,2020-09-16
10415,5208,16990322-0029,2E,B3188,2020-09-16
10416,5208,16930417-0237,2F,B3188,2020-09-16
10417,5209,16340528-0565,3A,B3188,2020-09-16
10418,5209,16490904-1982,3B,B3188,2020-09-16
10419,5210,16110206-6022,3C,B3188,2020-09-16
10420,5210,16850904-0880,3D,B3188,2020-09-16
10421,5211,16060510-0759,3E,B3188,2020-09-16
10422,5211,16070614-5166,3F,B3188,2020-09-16
10423,5212,16010823-3214,1A,IQ30,2020-02-22
10424,5212,16890717-8282,1B,IQ30,2020-02-22
10425,5213,16520703-3324,1C,IQ30,2020-02-22
10426,5213,16100528-7683,1D,IQ30,2020-02-22
10427,5214,16150310-2319,1E,IQ30,2020-02-22
10428,5214,16061230-7694,1F,IQ30,2020-02-22
10429,5215,16120511-2749,2A,IQ30,2020-02-22
10430,5215,16680307-1361,2B,IQ30,2020-02-22
10431,5216,16410417-1642,2C,IQ30,2020-02-22
10432,5216,16960109-5889,2D,IQ30,2020-02-22
10433,5217,16940122-5850,2E,IQ30,2020-02-22
10434,5217,16340528-0565,2F,IQ30,2020-02-22
10435,5218,16870127-4261,3A,IQ30,2020-02-22
10436,5218,16111009-2648,3B,IQ30,2020-02-22
10437,5219,16131128-1933,3C,IQ30,2020-02-22
10438,5219,16351006-8632,3D,IQ30,2020-02-22
10439,5220,16360928-2953,3E,IQ30,2020-02-22
10440,5220,16761025-0172,3F,IQ30,2020-02-22
10441,5221,16050402-0173,1A,TT772,2020-03-06
10442,5221,16550624-6338,1B,TT772,2020-03-06
10443,5222,16000228-9684,1C,TT772,2020-03-06
10444,5222,16110206-6022,1D,TT772,2020-03-06
10445,5223,16490904-1982,1E,TT772,2020-03-06
10446,5223,16870127-4261,1F,TT772,2020-03-06
10447,5224,16261029-9600,2A,TT772,2020-03-06
10448,5224,16560308-7742,2B,TT772,2020-03-06
10449,5225,16931205-5859,2C,TT772,2020-03-06
10450,5225,16111009-2648,2D,TT772,2020-03-06
10451,5226,16490621-7072,2E,TT772,2020-03-06
10452,5226,16070614-5166,2F,TT772,2020-03-06
10453,5227,16940122-5850,3A,TT772,2020-03-06
10454,5227,16920216-8358,3B,TT772,2020-03-06
10455,5228,16980712-2024,3C,TT772,2020-03-06
10456,5228,16400921-6765,3D,TT772,2020-03-06
10457,5229,16430425-9379,3E,TT772,2020-03-06
10458,5229,16340528-0565,3F,TT772,2020-03-06
10459,5230,16060510-0759,1A,YY59,2020-04-30
10460,5230,16120511-2749,1B,YY59,2020-04-30
10461,5231,16101007-7111,1C,YY59,2020-04-30
10462,5231,16931205-5859,1D,YY59,2020-04-30
10463,5232,16860723-8055,1E,YY59,2020-04-30
10464,5232,16581104-5979,1F,YY59,2020-04-30
10465,5233,16060325-8625,2A,YY59,2020-04-30
10466,5233,16580718-5201,2B,YY59,2020-04-30
10467,5234,16650229-7226,2C,YY59,2020-04-30
10468,5234,16360928-2953,2D,YY59,2020-04-30
10469,5235,16110206-6022,2E,YY59,2020-04-30
10470,5235,16870127-4261,2F,YY59,2020-04-30
10471,5236,16711124-7495,3A,YY59,2020-04-30
10472,5236,16581130-0689,3B,YY59,2020-04-30
10473,5237,16360709-1679,3C,YY59,2020-04-30
10474,5237,16031229-8268,3D,YY59,2020-04-30
10475,5238,16480502-9560,3E,YY59,2020-04-30
10476,5238,16111009-2648,3F,YY59,2020-04-30
10477,5239,16940122-5850,1A,F5575,2020-02-20
10478,5239,16920609-4733,1B,F5575,2020-02-20
10479,5240,16910613-5115,1C,F5575,2020-02-20
10480,5240,16780120-3824,1D,F5575,2020-02-20
10481,5241,16580718-5201,1E,F5575,2020-02-20
10482,5241,16870601-4985,1F,F5575,2020-02-20
10483,5242,16061230-7694,2A,F5575,2020-02-20
10484,5242,16660906-5948,2B,F5575,2020-02-20
10485,5243,16090327-1120,2C,F5575,2020-02-20
10486,5243,16410417-1642,2D,F5575,2020-02-20
10487,5244,16351006-8632,2E,F5575,2020-02-20
10488,5244,16491201-6724,2F,F5575,2020-02-20
10489,5245,16870912-4617,3A,F5575,2020-02-20
10490,5245,16100528-7683,3B,F5575,2020-02-20
10491,5246,16810114-0682,3C,F5575,2020-02-20
10492,5246,16870127-4261,3D,F5575,2020-02-20
10493,5247,16040530-9543,3E,F5575,2020-02-20
10494,5247,16680307-1361,3F,F5575,2020-02-20
10495,5248,16920216-8358,1A,U3245,2020-04-10
10496,5248,16910613-5115,1B,U3245,2020-04-10
10497,5249,16110206-6022,1C,U3245,2020-04-10
10498,5249,16490305-3546,1D,U3245,2020-04-10
10499,5250,16140805-3104,1E,U3245,2020-04-10
10500,5250,16670311-9898,1F,U3245,2020-04-10
10501,5251,16160922-8588,2A,U3245,2020-04-10
10502,5251,16430425-9379,2B,U3245,2020-04-10
10503,5252,16271225-4412,2C,U3245,2020-04-10
10504,5252,16990322-0029,2D,U3245,2020-04-10
10505,5253,16660906-5948,2E,U3245,2020-04-10
10506,5253,16960109-5889,2F,U3245,2020-04-10
10507,5254,16260227-4298,3A,U3245,2020-04-10
10508,5254,16340528-0565,3B,U3245,2020-04-10
10509,5255,16491201-6724,3C,U3245,2020-04-10
10510,5255,16440526-2314,3D,U3245,2020-04-10
10511,5256,16870127-4261,3E,U3245,2020-04-10
10512,5256,16580718-5201,3F,U3245,2020-04-10
10513,5257,16101007-7111,1A,GV8,2020-04-07
10514,5257,16050604-5038,1B,GV8,2020-04-07
10515,5258,16920609-4733,1C,GV8,2020-04-07
10516,5258,16500402-9038,1D,GV8,2020-04-07
10517,5259,16040530-9543,1E,GV8,2020-04-07
10518,5259,16581130-0689,1F,GV8,2020-04-07
10519,5260,16061230-7694,2A,GV8,2020-04-07
10520,5260,16910606-5783,2B,GV8,2020-04-07
10521,5261,16650229-7226,2C,GV8,2020-04-07
10522,5261,16590402-3420,2D,GV8,2020-04-07
10523,5262,16381206-7498,2E,GV8,2020-04-07
10524,5262,16870127-4261,2F,GV8,2020-04-07
10525,5263,16340528-0565,3A,GV8,2020-04-07
10526,5263,16890806-7732,3B,GV8,2020-04-07
10527,5264,16490305-3546,3C,GV8,2020-04-07
10528,5264,16891029-9851,3D,GV8,2020-04-07
10529,5265,16010823-3214,3E,GV8,2020-04-07
10530,5265,16360709-1679,3F,GV8,2020-04-07
10531,5266,16160304-0336,1A,YT644,2020-04-22
10532,5266,16410417-1642,1B,YT644,2020-04-22
10533,5267,16550624-6338,1C,YT644,2020-04-22
10534,5267,16340528-0565,1D,YT644,2020-04-22
10535,5268,16131128-1933,1E,YT644,2020-04-22
10536,5268,16931205-5859,1F,YT644,2020-04-22
10537,5269,16581104-5979,2A,YT644,2020-04-22
10538,5269,16430425-9379,2B,YT644,2020-04-22
10539,5270,16510109-6732,2C,YT644,2020-04-22
10540,5270,16400921-6765,2D,YT644,2020-04-22
10541,5271,16920609-4733,2E,YT644,2020-04-22
10542,5271,16641007-4782,2F,YT644,2020-04-22
10543,5272,16150423-5282,3A,YT644,2020-04-22
10544,5272,16160922-8588,3B,YT644,2020-04-22
